"","age","sex","educ","province","n","logodds_estimate_lib","estimate_lib","logodds_estimate_conservative","estimate_conservative","logodds_estimate_ndp","estimate_ndp","logodds_estimate_bloc","estimate_bloc","logodds_estimate_green","estimate_green","logodds_estimate_people","estimate_people","logodds_estimate_other","estimate_other"
"1",15,"Female","No Highschool Diploma","Alberta",3,-1.98965611263311,0.120293248834437,-0.0971265767280944,0.47573742638086,-0.79703744137901,0.310659595289055,-17.6410600182245,2.1806449985218e-08,-2.44164219529893,0.0800518915886375,-2.74086170428916,0.0606048262903943,-5.78366469920066,0.0030679754711944
"2",15,"Female","No Highschool Diploma","British Columbia",5,-1.32427467878553,0.210107977468431,-1.4539986374663,0.189386934525402,-0.0851460052121296,0.478726349694903,-17.6429629567676,2.17649931094102e-08,-1.21551184702457,0.228727246413735,-2.74086170428916,0.0606048262903943,-5.78366469920066,0.0030679754711944
"3",15,"Female","No Highschool Diploma","Manitoba",7,-1.34332847527323,0.206963224890985,-0.976316387660048,0.273623304010901,-0.308013315677832,0.423599739898087,-17.6279919708261,2.20932878241358e-08,-1.77606829381474,0.144789299420172,-2.74086170428916,0.0606048262903943,-5.78366469920066,0.0030679754711944
"4",15,"Female","No Highschool Diploma","New Brunswick",1,-0.974643314860598,0.273955959152427,-1.58657882594798,0.169865776730826,-0.953911734918095,0.278098821334696,-17.6229773141749,2.22043563268608e-08,-0.817552582206889,0.306283425584822,-2.74086170428916,0.0606048262903943,-5.78366469920066,0.0030679754711944
"5",15,"Female","No Highschool Diploma","Newfoundland and Labrador",4,-0.609099756758513,0.352264582913052,-1.80615533018483,0.141103431155617,-0.0543358782543366,0.486419371545344,-17.621633704918,2.22342103564851e-08,-2.63175151471535,0.0671226923869743,-2.74086170428916,0.0606048262903943,-5.78366469920066,0.0030679754711944
"6",15,"Female","No Highschool Diploma","Nova Scotia",4,-0.72079281486088,0.32721842359152,-1.81667768782019,0.13983300182538,-0.556353947703985,0.364391504854891,-17.6241189772847,2.21790208979415e-08,-1.30368948860918,0.213544736907772,-2.74086170428916,0.0606048262903943,-5.78366469920066,0.0030679754711944
"7",15,"Female","No Highschool Diploma","Ontario",19,-0.910024659873613,0.286994791101336,-1.42168837215236,0.194397036547182,-0.372582232525849,0.407917210822666,-17.6894793905237,2.07757496774368e-08,-1.80571849549775,0.141156380872845,-2.74086170428916,0.0606048262903943,-5.78366469920066,0.0030679754711944
"8",15,"Female","No Highschool Diploma","Prince Edward Island",1,-1.00634558411293,0.26769563456495,-1.87202683767927,0.133307374670827,-0.764463584270568,0.317677959195658,-17.6194797968803,2.22821524126731e-08,-0.492361606641193,0.37933739149792,-2.74086170428916,0.0606048262903943,-5.78366469920066,0.0030679754711944
"9",15,"Female","No Highschool Diploma","Quebec",8,-1.07436029618762,0.254574761136496,-2.21913615884828,0.0980451692489818,-0.855164566049455,0.298350595393155,-1.73343757545931,0.150148404107,-1.87511733166859,0.132950714228138,-2.74086170428916,0.0606048262903943,-5.78366469920066,0.0030679754711944
"10",15,"Female","No Highschool Diploma","Saskatchewan",2,-2.1426636043513,0.105018774281267,-0.587594774166791,0.357186914896852,0.0416475197969018,0.510410375245937,-17.6257501816818,2.21428718735717e-08,-2.28515681610173,0.0923597504918899,-2.74086170428916,0.0606048262903943,-5.78366469920066,0.0030679754711944
"11",15,"Male","No Highschool Diploma","Alberta",1,-2.08865486189295,0.110204408649708,0.282330884675883,0.570117578493612,-1.25530210780104,0.221783668193528,-17.5928873374002,2.28826384483946e-08,-2.62040043627059,0.0678369675615931,-2.18217775865462,0.101362387817946,-5.55556913457002,0.00385098026444005
"12",15,"Male","No Highschool Diploma","British Columbia",9,-1.42327342804537,0.194148926206464,-1.07454117606232,0.254540437728208,-0.543410671634163,0.367394530415808,-17.5947902759433,2.28391355994699e-08,-1.39427008799623,0.198726936530271,-2.18217775865462,0.101362387817946,-5.55556913457002,0.00385098026444005
"13",15,"Male","No Highschool Diploma","Manitoba",2,-1.44232722453307,0.191185223188263,-0.59685892625607,0.355062650288776,-0.766277982099865,0.317284802894908,-17.5798192900017,2.31836322625444e-08,-1.9548265347864,0.124028026683512,-2.18217775865462,0.101362387817946,-5.55556913457002,0.00385098026444005
"14",15,"Male","No Highschool Diploma","New Brunswick",4,-1.07364206412044,0.254711081511333,-1.20712136454401,0.230210788600973,-1.41217640134013,0.195891007671267,-17.5748046333506,2.33001822002813e-08,-0.996310823178547,0.269667375548499,-2.18217775865462,0.101362387817946,-5.55556913457002,0.00385098026444005
"15",15,"Male","No Highschool Diploma","Nova Scotia",5,-0.819791564120717,0.305807906835046,-1.43722022641621,0.191976181556949,-1.01461861412602,0.266076953870364,-17.5759462964604,2.32735964213195e-08,-1.48244772958084,0.185057988843975,-2.18217775865462,0.101362387817946,-5.55556913457002,0.00385098026444005
"16",15,"Male","No Highschool Diploma","Ontario",18,-1.00902340913345,0.26717101465317,-1.04223091074838,0.260719767607726,-0.830846898947883,0.30346602763121,-17.6413067096994,2.18010711835068e-08,-1.98447673646941,0.120842423638611,-2.18217775865462,0.101362387817946,-5.55556913457002,0.00385098026444005
"17",15,"Male","No Highschool Diploma","Prince Edward Island",3,-1.10534433337276,0.248739867194615,-1.49256937627529,0.183536391259109,-1.2227282506926,0.227456685535193,-17.571307116056,2.3381817666098e-08,-0.671119847612851,0.338246133550808,-2.18217775865462,0.101362387817946,-5.55556913457002,0.00385098026444005
