"","age","sex","educ","province","vote_liberal","vote_conservative","vote_ndp","vote_bloc","vote_green","vote_people","vote_other"
"85",69,"Female","Undergraduate Degree","Ontario",0,0,1,0,0,0,0
"86",31,"Male","Undergraduate Degree","Ontario",1,0,0,0,0,0,0
"87",60,"Male","Highschool Diploma","Quebec",0,1,0,0,0,0,0
"88",62,"Female","Undergraduate Degree","British Columbia",0,0,0,0,1,0,0
"89",32,"Female",NA,"Quebec",0,0,1,0,0,0,0
"90",66,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"91",48,"Female",NA,"Alberta",0,1,0,0,0,0,0
"92",65,"Female","Undergraduate Degree","Manitoba",1,0,0,0,0,0,0
"93",70,"Female","Undergraduate Degree","Ontario",0,0,1,0,0,0,0
"94",65,"Female",NA,"Newfoundland and Labrador",0,1,0,0,0,0,0
"95",50,"Male","Graduate Degree","Alberta",1,0,0,0,0,0,0
"96",66,"Male",NA,"Saskatchewan",1,0,0,0,0,0,0
"97",77,"Female",NA,"Quebec",1,0,0,0,0,0,0
"98",56,"Male","Undergraduate Degree","Quebec",0,1,0,0,0,0,0
"99",64,"Male","Undergraduate Degree","Saskatchewan",0,1,0,0,0,0,0
"100",39,"Female","Graduate Degree","Ontario",0,1,0,0,0,0,0
"101",58,"Male",NA,"Prince Edward Island",0,0,0,0,1,0,0
"102",69,"Male","Highschool Diploma","British Columbia",0,1,0,0,0,0,0
"103",68,"Male","Undergraduate Degree","Alberta",0,1,0,0,0,0,0
"104",60,"Male","Graduate Degree","Quebec",0,1,0,0,0,0,0
"105",29,"Male","Undergraduate Degree","Ontario",1,0,0,0,0,0,0
"106",64,"Male","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"107",62,"Male","Undergraduate Degree","Alberta",0,1,0,0,0,0,0
"108",30,"Female","Undergraduate Degree","Quebec",0,1,0,0,0,0,0
"109",74,"Male","Highschool Diploma","Ontario",0,1,0,0,0,0,0
"110",70,"Female","No Highschool Diploma","Ontario",0,1,0,0,0,0,0
"111",50,"Female",NA,"Quebec",1,0,0,0,0,0,0
"112",63,"Female","Highschool Diploma","Ontario",0,1,0,0,0,0,0
"113",48,"Male","Graduate Degree","Nova Scotia",0,1,0,0,0,0,0
"114",55,"Female","Undergraduate Degree","Ontario",1,0,0,0,0,0,0
"115",56,"Female","Highschool Diploma","Quebec",0,0,0,0,1,0,0
"116",59,"Female","No Highschool Diploma","Ontario",0,0,0,0,1,0,0
"117",42,"Female",NA,"Manitoba",1,0,0,0,0,0,0
"118",55,"Male","Graduate Degree","Quebec",0,0,0,1,0,0,0
"119",35,"Female","Undergraduate Degree","Alberta",0,1,0,0,0,0,0
"120",67,"Female","Highschool Diploma","British Columbia",0,1,0,0,0,0,0
"121",49,"Female","Highschool Diploma","Quebec",1,0,0,0,0,0,0
"122",69,"Male","Graduate Degree","British Columbia",1,0,0,0,0,0,0
"123",54,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"124",69,"Male","Highschool Diploma","Nova Scotia",1,0,0,0,0,0,0
"125",66,"Female","Highschool Diploma","Quebec",1,0,0,0,0,0,0
"126",29,"Female","Undergraduate Degree","Quebec",1,0,0,0,0,0,0
"127",41,"Female",NA,"Manitoba",0,0,0,0,1,0,0
"128",70,"Male","Highschool Diploma","Ontario",0,0,0,0,1,0,0
"129",36,"Female",NA,"Ontario",1,0,0,0,0,0,0
"130",35,"Male","Undergraduate Degree","New Brunswick",1,0,0,0,0,0,0
"131",57,"Male","Undergraduate Degree","Alberta",0,1,0,0,0,0,0
"132",29,"Female","Undergraduate Degree","Ontario",0,1,0,0,0,0,0
"133",69,"Female","Highschool Diploma","Quebec",1,0,0,0,0,0,0
"134",51,"Male",NA,"Ontario",0,0,0,0,1,0,0
"135",40,"Female","Undergraduate Degree","Ontario",0,1,0,0,0,0,0
"136",62,"Male","Highschool Diploma","Alberta",1,0,0,0,0,0,0
"137",75,"Male","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"138",55,"Male","Highschool Diploma","Manitoba",0,1,0,0,0,0,0
"139",41,"Male","Graduate Degree","Manitoba",1,0,0,0,0,0,0
"140",61,"Female","Highschool Diploma","Manitoba",0,1,0,0,0,0,0
"141",55,"Female","Graduate Degree","British Columbia",1,0,0,0,0,0,0
"142",47,"Female","Highschool Diploma","Quebec",0,0,0,0,0,0,1
"143",60,"Male",NA,"Quebec",0,1,0,0,0,0,0
"144",68,"Male","Undergraduate Degree","Ontario",0,1,0,0,0,0,0
"145",52,"Male","Undergraduate Degree","Ontario",0,1,0,0,0,0,0
"146",73,"Male","Highschool Diploma","Ontario",0,0,1,0,0,0,0
"147",57,"Female","Highschool Diploma","Quebec",0,1,0,0,0,0,0
"148",61,"Female","Graduate Degree","Quebec",1,0,0,0,0,0,0
"149",82,"Male","Graduate Degree","Ontario",0,1,0,0,0,0,0
"150",64,"Male","Graduate Degree","Ontario",0,0,1,0,0,0,0
